trial_id,stage_num,rep_num,trial_num,chat_prompt,model_logprobs,target
1585,1,1,1,"[{'role': 'user', 'content': ""describer: hi\nmatcher: hello\ndescriber: looking for a diamond at the top, triangle pointing towards the left\ndescriber: close to a person praying on their knees\nmatcher: is there a triangle pointing right as well?\ndescriber: there's a triangle on the right also. just below the diamond and to the right\ndescriber: could also be seen as a mouse in silhouette\nmatcher: anything happening at the bottom?\ndescriber: like a mountain - we've got 72 of these to get through\nmatcher: 72? oops.\n""}]","{'C': -0.31711411476135254, 'G': -2.1921141147613525, 'B': -2.5671141147613525, 'E': -2.9421141147613525, 'I': -4.067114353179932, 'H': -5.442114353179932, 'D': -5.817114353179932, 'F': -6.067114353179932, 'J': -6.192114353179932, 'A': -7.067114353179932, 'K': -7.317114353179932, 'L': -8.942113876342773}",B
1586,1,1,2,"[{'role': 'user', 'content': 'describer: awesome. this one looks like a seal\n'}]","{'F': -0.6898012161254883, 'G': -2.4398012161254883, 'H': -2.6898012161254883, 'B': -2.8148012161254883, 'L': -2.8148012161254883, 'E': -2.9398012161254883, 'J': -3.1898012161254883, 'K': -3.3148012161254883, 'D': -3.4398012161254883, 'I': -3.4398012161254883, 'C': -3.8148012161254883, 'A': -5.189801216125488}",G
1587,1,1,3,"[{'role': 'user', 'content': 'describer: this one looks like a small dog balancing a ball on its nose\n'}]","{'J': -1.253546953201294, 'E': -2.003546953201294, 'G': -2.003546953201294, 'K': -2.378546953201294, 'I': -2.628546714782715, 'C': -2.753546714782715, 'H': -2.753546714782715, 'D': -3.003546953201294, 'B': -3.128546714782715, 'F': -3.378546953201294, 'L': -3.878546953201294, 'A': -5.753546714782715}",K
1588,1,1,4,"[{'role': 'user', 'content': 'describer: this looks like one of the spy vs spy guys looking down and walking with a flag on his right shoulder.\n'}]","{'C': -1.7572592496871948, 'D': -1.7572592496871948, 'B': -2.0072591304779053, 'G': -2.0072591304779053, 'E': -2.5072591304779053, 'A': -2.6322593688964844, 'H': -2.8822593688964844, 'I': -3.1322593688964844, 'F': -3.2572591304779053, 'L': -3.3822593688964844, 'J': -3.5072593688964844, 'K': -3.5072593688964844}",A
1589,1,1,5,"[{'role': 'user', 'content': 'describer: nice. this is a diamond on top of what looks like a state - top of state is a straight line\n'}]","{'J': -0.7080947160720825, 'K': -1.4580947160720825, 'H': -2.958094835281372, 'D': -3.083094835281372, 'G': -3.083094835281372, 'L': -3.333094835281372, 'F': -3.583094596862793, 'C': -3.833094835281372, 'I': -3.833094835281372, 'B': -4.333094596862793, 'E': -4.833094596862793, 'A': -6.333094596862793}",J
1590,1,1,6,"[{'role': 'user', 'content': 'describer: ok, could be a bow or bunny ears in profile on top of a lightning bolt\n'}]","{'E': -1.4777100086212158, 'I': -1.7277100086212158, 'G': -2.227710008621216, 'C': -2.477710008621216, 'J': -2.477710008621216, 'D': -2.602710008621216, 'H': -2.602710008621216, 'B': -2.727710008621216, 'K': -3.227710008621216, 'L': -3.477710008621216, 'F': -3.977710008621216, 'A': -4.227710247039795}",E
1591,1,1,7,"[{'role': 'user', 'content': 'describer: the other possible diamond/state combo. state looks like indiana\n'}]","{'G': -1.901136040687561, 'J': -1.901136040687561, 'K': -1.901136040687561, 'C': -2.1511359214782715, 'D': -2.2761361598968506, 'H': -2.5261359214782715, 'I': -2.9011359214782715, 'L': -2.9011359214782715, 'B': -3.0261361598968506, 'E': -3.1511359214782715, 'F': -3.1511359214782715, 'A': -4.9011359214782715}",H
1592,1,1,8,"[{'role': 'user', 'content': 'describer: person ice skating with leg out and arms out in front\n'}]","{'C': -0.9925730228424072, 'B': -1.8675731420516968, 'G': -1.9925730228424072, 'D': -2.2425730228424072, 'E': -2.8675730228424072, 'A': -3.2425730228424072, 'I': -3.3675730228424072, 'H': -3.4925730228424072, 'F': -3.8675730228424072, 'L': -3.8675730228424072, 'J': -4.117573261260986, 'K': -4.367573261260986}",I
1593,1,1,9,"[{'role': 'user', 'content': 'describer: preacher with hands up in air\ndescriber: air\n'}]","{'C': -1.0829713344573975, 'B': -1.7079713344573975, 'D': -1.8329713344573975, 'G': -2.7079715728759766, 'E': -2.9579713344573975, 'A': -3.3329713344573975, 'I': -3.3329713344573975, 'J': -3.3329713344573975, 'H': -3.4579713344573975, 'K': -3.8329713344573975, 'L': -3.8329713344573975, 'F': -3.9579713344573975}",C
1594,1,1,10,"[{'role': 'user', 'content': 'describer: graduate giving speech at lectern, in profile\nmatcher: pointing a direction?\ndescriber: the lectern is pointing to the left\n'}]","{'D': -1.9408390522003174, 'H': -1.9408390522003174, 'J': -2.0658390522003174, 'G': -2.3158390522003174, 'F': -2.4408390522003174, 'K': -2.5658390522003174, 'L': -2.6908390522003174, 'B': -2.8158390522003174, 'E': -2.8158390522003174, 'C': -3.0658390522003174, 'I': -3.0658390522003174, 'A': -3.1908390522003174}",D
